epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,226.856,0.96973,0.45847,0.8839,1,1,0.995,0.82718,0.77103,0.38015,0.86146,0.0056704,0.0056704,0.0056704
48,231.735,0.84607,0.43226,0.85732,1,1,0.995,0.81446,0.85937,0.37908,0.87086,0.00551584,0.00551584,0.00551584
49,236.445,0.86274,0.43192,0.8589,0.99918,1,0.995,0.80639,0.86162,0.36552,0.87129,0.00536081,0.00536081,0.00536081
50,241.329,0.92154,0.45124,0.86609,0.99915,1,0.995,0.82462,0.78383,0.35388,0.8576,0.00520548,0.00520548,0.00520548
51,245.982,0.88813,0.44203,0.85404,0.99907,1,0.995,0.79994,0.80836,0.36904,0.85693,0.00505,0.00505,0.00505
52,250.919,0.83487,0.41817,0.85381,0.99911,1,0.995,0.79417,0.83442,0.36946,0.86375,0.00489452,0.00489452,0.00489452
53,255.512,0.84115,0.39723,0.85256,0.99917,1,0.995,0.81182,0.778,0.35574,0.85325,0.00473919,0.00473919,0.00473919
54,260.479,0.85794,0.4385,0.84326,0.99914,1,0.995,0.81097,0.77067,0.37344,0.8524,0.00458416,0.00458416,0.00458416
55,265.11,0.86864,0.4282,0.85383,0.99907,1,0.995,0.75683,0.96445,0.38493,0.88603,0.0044296,0.0044296,0.0044296
56,269.868,0.89317,0.43735,0.8659,0.99903,1,0.995,0.76958,0.95451,0.39959,0.88559,0.00427565,0.00427565,0.00427565
57,274.683,0.89831,0.43284,0.85679,0.99909,1,0.995,0.83075,0.74816,0.35779,0.84877,0.00412246,0.00412246,0.00412246
58,279.892,0.90515,0.42791,0.85476,0.99914,1,0.995,0.83236,0.75181,0.34961,0.8474,0.00397019,0.00397019,0.00397019
59,284.983,0.85552,0.4078,0.86521,0.99917,1,0.995,0.81724,0.83695,0.37506,0.86661,0.00381899,0.00381899,0.00381899
60,289.963,0.86662,0.40602,0.86741,0.99912,1,0.995,0.7821,0.84491,0.36151,0.85538,0.00366899,0.00366899,0.00366899
61,294.661,0.8872,0.41333,0.86546,0.99909,1,0.995,0.80516,0.76782,0.36685,0.84537,0.00352037,0.00352037,0.00352037
62,300.142,0.83838,0.41052,0.86677,0.9991,1,0.995,0.81871,0.70859,0.35793,0.84538,0.00337325,0.00337325,0.00337325
63,304.949,0.82698,0.41131,0.84998,0.99913,1,0.995,0.80077,0.8571,0.36585,0.85626,0.00322778,0.00322778,0.00322778
64,310.165,0.81963,0.40162,0.83967,0.99912,1,0.995,0.78917,0.85957,0.34704,0.85848,0.00308412,0.00308412,0.00308412
65,315.389,0.84484,0.40541,0.87061,0.9991,1,0.995,0.82742,0.74187,0.35271,0.84995,0.00294239,0.00294239,0.00294239
66,320.712,0.81932,0.39715,0.84527,0.99911,1,0.995,0.81972,0.78271,0.35445,0.85296,0.00280275,0.00280275,0.00280275
67,326.018,0.80165,0.37799,0.84563,0.99913,1,0.995,0.80052,0.8112,0.33928,0.85451,0.00266532,0.00266532,0.00266532
68,331.163,0.81552,0.40336,0.84183,0.99916,1,0.995,0.8129,0.75651,0.34524,0.84879,0.00253024,0.00253024,0.00253024
69,336.076,0.80223,0.401,0.855,0.99914,1,0.995,0.82064,0.73651,0.33716,0.84525,0.00239766,0.00239766,0.00239766
70,341.257,0.83358,0.38578,0.85476,0.99912,1,0.995,0.83363,0.71261,0.34796,0.8421,0.00226769,0.00226769,0.00226769
71,346.364,0.85332,0.40959,0.86334,0.99912,1,0.995,0.83916,0.72956,0.33045,0.84566,0.00214046,0.00214046,0.00214046
72,352.274,0.78198,0.38484,0.84041,0.99912,1,0.995,0.8267,0.71703,0.32515,0.8403,0.00201611,0.00201611,0.00201611
73,357.251,0.84161,0.39265,0.85478,0.99909,1,0.995,0.81982,0.71376,0.33651,0.84019,0.00189475,0.00189475,0.00189475
74,362.35,0.77783,0.37721,0.85378,0.99911,1,0.995,0.83195,0.71063,0.3233,0.84321,0.00177651,0.00177651,0.00177651
75,367.005,0.78187,0.37472,0.84054,0.99915,1,0.995,0.82697,0.76602,0.33941,0.84637,0.00166149,0.00166149,0.00166149
76,372.17,0.813,0.40094,0.8414,0.99913,1,0.995,0.81372,0.77715,0.33291,0.84738,0.00154982,0.00154982,0.00154982
77,376.687,0.80978,0.38329,0.85033,0.99915,1,0.995,0.82728,0.71827,0.32517,0.84285,0.00144161,0.00144161,0.00144161
78,381.769,0.76312,0.37544,0.84,0.99913,1,0.995,0.84484,0.6942,0.31454,0.84081,0.00133695,0.00133695,0.00133695
79,386.707,0.79739,0.38943,0.84722,0.99911,1,0.995,0.84041,0.68841,0.31455,0.84085,0.00123596,0.00123596,0.00123596
80,391.78,0.78434,0.37576,0.83737,0.9991,1,0.995,0.84816,0.6937,0.31489,0.84069,0.00113873,0.00113873,0.00113873
81,396.645,0.79228,0.37628,0.84323,0.99913,1,0.995,0.82183,0.72181,0.33998,0.84268,0.00104537,0.00104537,0.00104537
82,401.934,0.8087,0.39106,0.84869,0.99913,1,0.995,0.83986,0.70131,0.34312,0.84102,0.000955951,0.000955951,0.000955951
83,406.569,0.79574,0.37425,0.84962,0.99913,1,0.995,0.83758,0.70428,0.32339,0.83832,0.000870577,0.000870577,0.000870577
84,411.589,0.77324,0.37321,0.85437,0.99913,1,0.995,0.83534,0.71101,0.30686,0.84067,0.000789327,0.000789327,0.000789327
85,416.308,0.75887,0.36519,0.84435,0.99915,1,0.995,0.83323,0.72044,0.31059,0.8438,0.000712282,0.000712282,0.000712282
