이미지 경로,처리 성공,H마커 인식,드론 고도(m),YOLO 매칭 수,건물1 YOLO클래스,건물1 YOLO신뢰도,건물1 ROI클래스,건물1 ROI신뢰도,건물2 YOLO클래스,건물2 YOLO신뢰도,건물2 ROI클래스,건물2 ROI신뢰도,건물3 YOLO클래스,건물3 YOLO신뢰도,건물3 ROI클래스,건물3 ROI신뢰도,건물4 YOLO클래스,건물4 YOLO신뢰도,건물4 ROI클래스,건물4 ROI신뢰도,건물5 YOLO클래스,건물5 YOLO신뢰도,건물5 ROI클래스,건물5 ROI신뢰도,건물6 YOLO클래스,건물6 YOLO신뢰도,건물6 ROI클래스,건물6 ROI신뢰도,건물7 YOLO클래스,건물7 YOLO신뢰도,건물7 ROI클래스,건물7 ROI신뢰도,건물8 YOLO클래스,건물8 YOLO신뢰도,건물8 ROI클래스,건물8 ROI신뢰도,건물9 YOLO클래스,건물9 YOLO신뢰도,건물9 ROI클래스,건물9 ROI신뢰도
src\drone\c_frames\frame_000015.jpg,True,True,2.43,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000016.jpg,True,True,2.43,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000017.jpg,True,True,2.43,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000018.jpg,True,True,2.43,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000019.jpg,True,True,2.42,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000020.jpg,True,True,2.44,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000021.jpg,True,True,2.43,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000022.jpg,True,True,2.45,2,drone,0.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000023.jpg,True,True,2.44,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000024.jpg,True,True,2.38,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000025.jpg,True,True,2.44,2,drone,0.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000026.jpg,True,True,2.45,2,drone,0.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000027.jpg,True,True,2.43,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000028.jpg,True,True,2.44,2,drone,0.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000029.jpg,True,True,2.44,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000030.jpg,True,True,2.44,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
src\drone\c_frames\frame_000031.jpg,True,True,2.44,2,drone,0.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,drone,0.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
